,address,amount0,amount1,sender,transaction_hash,timestamp
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1777341,999898502542420,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x33512980919a9c5e412525c22dcf93ea1f197c32658605acc44605a81569860c,2023-03-19 11:33:00
1,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,890900000,499940868574837631,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x145741c0267ee4620eed255d28a1483e7ac296644f1f0bc4ee19132009d94bbe,2023-03-18 22:41:00
2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,10000000000,5813239320026642787,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x3d866dfb4cf034ab999547a61de1851ba2b22d9675b26c2949df5b38f5af72a2,2023-03-17 08:11:00
3,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,59433012658247,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf2f0a5885942f61f78e6f56fea6362d29cc9046952b0f8dea09e4501d3704eb5,2023-03-16 19:44:00
4,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,99966,59412985846044,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2578b00e2fd09fb4b65aed4ad0f070838e0773ab83b87966c974dcf195e50b86,2023-03-16 19:41:00
5,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,43419528843,25497580782409403855,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x594cd429e42bf1954cd864cba01bec3cdda5e0de63631ad14ca801cc10ccbfe1,2023-03-14 22:13:00
6,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,669348941095,399999999999808766962,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x206227a71cc9502406960556d746cd22307775528e96125b29982d714fc83f97,2023-03-14 09:32:00
7,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,99880000000,59737165127720782350,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x38b00124ced8874feea6f863f645927f793913e5c6f11cfb4d9bbe6c483f8e61,2023-03-14 08:21:00
8,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,500000000,326628630868720330,0xd78f16a7ce7cf08292da1aa6fd595d06bbae2939,0x1d95e13be37defe72a743a7c049f7691faca6417e6db4e4c86c784a2d9402a73,2023-03-12 00:17:00
9,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,50000000,35765495681123060,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xedcefc5664b90eea8e87ddaba648e8f8ad057a15ae78b5c8120e1c984b0e26b7,2023-03-10 10:05:00
10,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,9987383,6964065647781224,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf5a2eaca27951ee10f5478836547136130d48c5c9492294ce023c2dfac868b55,2023-03-09 23:02:00
11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,9997721,6958636491799602,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x5cb61ba4191a278129a0664def30dc3c9d66ba7cb59b86dd9a2bc25a5925f5e2,2023-03-09 23:00:00
12,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,19498863810,13531833599983999350,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xb8e1bcc6db5994f2d4ff6c0e60da590b118682d2990b032c53fb463baa8e9881,2023-03-09 22:27:00
13,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,45918643,29996804126886490,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x4796f46c01d3d1f4846348e8b2ebb582f9d48f1f74f09ccc10039840e19a692a,2023-03-09 13:44:00
14,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,4600153391,2989193582392962576,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x69b2fc16c478b78227bd6621a6ac8ff484a499638c0e9e3de52cdc90f652b5d7,2023-03-09 08:11:00
15,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1000000,652689757353573,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x0b678ec7b4a05fa71fb6de6343e52a836c919eab76466ddd01734afe02657205,2023-03-09 00:07:00
16,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,4613803,2971295661454337,0x2c378c64e4e3d2a37081c895dd598682377814ee,0x4f8d533b666b22d1768a5a4f22068a862f99c7ef1c470cbf3978df77ebc40af6,2023-03-08 09:02:00
17,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,46934060,29999999873009494,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa878a2bae76a01a3cd8b509d04ff953f6d4eefe24694cef54f62dc8e0fd57841,2023-03-07 15:59:00
18,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,2737522,1745133497112021,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc479e4c00ffac9a70dee0792ef2906de82749fd345836bee8f18cb858fce8a28,2023-03-07 09:50:00
19,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63788237848150,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x29eb7c81ea416725d03a167195ce4af2358b1dfe5dadad06122f7e2cab3d28c0,2023-03-06 19:55:00
20,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1000000,639421759516446,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xae2baa85ee665aee197794514cd7cfbbc184bca0018ff96a49ab6cf01be4abbb,2023-03-06 07:28:00
21,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63647899747061,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x4b6e0c1f7c1eb8a1b11985c998e0dcc516d12838cc31e9f63ec7e9f1392ab94c,2023-03-05 17:49:00
22,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63679638331723,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2fd5bf38f254f1b62160168bf35db721d9362080032a4fc975611c62d6043efe,2023-03-05 17:46:00
23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63680889918388,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xd6b76f5f334ce50b715054ce06e883b24a07440fe4c133a5caafa31624953311,2023-03-05 17:45:00
24,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,99999,63678236357182,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x98bd67fa46e2f79d9aafd92204745a9c427f5cd584cca9f98fa1ff316756f680,2023-03-05 17:39:00
25,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63668567353184,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x508d75bbbf1d7eac6a9211728181980b79cd1f1131d9bcf7579f292fcb0060e2,2023-03-05 17:35:00
26,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,99993,63664704468400,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x61140db2c77489cf6aa7f6781d79490ca0f2edce46fa6ccb20c8c86fd307a990,2023-03-05 17:34:00
27,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63664540641337,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x592d974a56144b75091edce5fe91fd509d0929f89daf40675336010e14669752,2023-03-05 17:33:00
28,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63643965726825,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x357df31b560cb62dbc7b9a473a68935d409691f204da50fb5784b94eadf7ebb8,2023-03-05 17:32:00
29,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1000000,636536217738294,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe76aa0f5863f5ddfeae67c2801a374d0d117994b7f78368e071b0d8a57c3d33b,2023-03-05 17:30:00
30,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,13557,8629950317090,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xfec8c17e728552959264538887cfec0d7f1cab851354234fbc8b224ebfaebaad,2023-03-05 17:29:00
31,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63583460724955,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1e7cf11fc93ff2d55e7a127ed37bd36141855d602fe033e90a02b9ab36d0616c,2023-03-05 16:57:00
32,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63582069903756,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xfc5f7891fecacae4456e05756c3bd59c700ab75e3c3eb26caf7c62780f0c5926,2023-03-05 16:54:00
33,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63581612119739,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x5b152d018a6784ba2fce2d1f9ddc98ea109cb50744058ad19d8cb11a06e53403,2023-03-05 16:54:00
34,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,99999,63631155807135,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x16b101479e894869f7335fbbf7145845c7d6f9eaa57c3e1ff8833c426515f0cf,2023-03-05 16:47:00
35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63634113571566,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x292a8304af0db85929c4394741b2ba2f4d4e0528033b5c110b151827c35e0475,2023-03-05 16:45:00
36,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63640159442200,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6f15c158e2965b47be55d3fc0c94c8e13e7b7a98f9695199f04944eb79f06380,2023-03-05 16:44:00
37,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,99969,63654509707607,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x977fcdaaf072bb020b8819f7c8939c2d1bb50dd2e08202bb5c65c9a251c67a88,2023-03-05 16:08:00
38,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63655350156709,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x24827d428114d4be8ba4b9b7a3ab9c9c9317d542ca43137c8edc80ae0dea84b1,2023-03-05 15:49:00
39,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,99972,63636040105074,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xfca1d0f8599fea7f572b1c4c624fca224c3f278639ee3ce614316e8fa30c9df5,2023-03-05 15:47:00
40,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63644748683895,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x674b1ad61f3215486f7e07c008d64cfaf9174685c4e7ddbdedc83fd9c662b9b0,2023-03-05 15:45:00
41,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63644748683895,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x721203f1be1b8d2a32914a534fb8ee4877d7e347ef5629d253b297214ff67745,2023-03-05 15:44:00
42,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63662078673113,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x16c1426199680922142ac6f8195d45b8db2c6ac3aae285a021cd6b62ac73207e,2023-03-05 15:36:00
43,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63667364893690,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7d594b597f030c3df7d07502c531b38bdbea7d7a062c5d5a11429236b2d78af7,2023-03-05 15:35:00
44,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100000,63666360246556,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x555d3e99d251e8665fba4de69895b8157f6cf914e2302e623445216f06e4abe5,2023-03-05 15:34:00
