,address,amount0,amount1,sender,to_address,transaction_hash,timestamp
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,24917058412,13999999999999972297,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xfcf23a3c6fd671239609618096f62c4d22d85a239fe8d93e62c8a5a12e59b5f8,2023-03-19 10:38:00
1,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,888991343,501062090382707705,0xabc07006e8277c75800601a5bcd28a52ad1dde51,0xabc07006e8277c75800601a5bcd28a52ad1dde51,0xf364782bb301808295aaeb04dac32cbe87a77cce89523c37d8553cfa36c9abb5,2023-03-19 07:09:00
2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,49162,27408688468037,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xd1669bee9f9e2ac93b8f5548fb60ca4796a5565a1f0d44831751d21f0586ce5e,2023-03-18 16:24:00
3,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,65470,36588730086126,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xfc68a456d055189e626d3bc93341954f7deb8753d16808671314f5c6fd0f5c92,2023-03-18 15:52:00
4,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,87241,48814276251246,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x85d3e61bc0f8e38c6b8ac723fb17829f6595270a0a6aedf8198646d350803759,2023-03-18 15:51:00
5,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,116343,65074007446069,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa252eefe745066df4ae2db19b7fc86e2985da8fed08d7dcd1fc69eca459046a3,2023-03-18 15:49:00
6,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,155120,86767811392860,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6cc53a6805be65136df053769a5928072508454d0edbaf4d65aa5df8e1a20a0d,2023-03-18 15:47:00
7,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,742224463,409108584696186286,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xd2dd4b57e4b0cd5cf5958ad0272ce6b407c76cf2bb34d62989f68e5d080c71b0,2023-03-18 06:46:00
8,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,9999999999,5813239320026601803,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf9c8e74dbf9ae64e03ab54f9dae97f232c104baa,0x3d866dfb4cf034ab999547a61de1851ba2b22d9675b26c2949df5b38f5af72a2,2023-03-17 08:11:00
9,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,200558,119195394775215,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa3596474c0af2ada73f5322471ff08968bc13221beadbfd6d1f1e3ec96216896,2023-03-16 19:46:00
