,address,amount0_in,amount1_in,amount0_out,amount1_out,sender,to_address,transaction_hash,timestamp
428,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3040181345,0,0,3024472427,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8369052b4c6ddd30974ec81d0a2f95a65c4a4e69,0x6bd0c1d60935cee75a4aafa9581e77369ae5fa39f585fea9f64ec21894171c47,2023-03-18 13:36:00
429,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,3900000000,3896107250,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7671a6037816b5a7780388d7fbf040ac25319977,0x29dca69e233e8a291cd5e34cda69d59b247342f5057649d1157555ed5ab35b8d,2023-03-18 13:35:00
430,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,1650000000,1650881184,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7fad20093bd8bdc92aa11bd859a4793dc7fdaf73,0xa8abc28fec3e0f012c033125c57855ec8b99f23232d822477be54611755d83a4,2023-03-18 13:34:00
431,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,299400000,299721266,0,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,0xea9b00b169dda4cbc9fa0a64b0d1e4a6a23a3f34,0x7709e1b5b11c7d93fc1d2e04fae9a141b1174cd4ad6baa3afc9958e7e9ed4cb1,2023-03-18 13:30:00
432,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3455628709,0,0,3434234597,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x64680f9791cf17fd0e447fc00566a92df17e8c7ec3ffc16b1c756edb054846f1,2023-03-18 13:23:00
433,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1049608619,0,0,1044405565,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8638851fca2f8997bc0dd99133b24ba0196e5fb1,0x4bec335056ed6c342eeb6e92bdee861892e10c155434da4ae4769a2413331b8e,2023-03-18 13:21:00
434,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,2800000000,2798451607,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xebe50e322cdce8dfc61a6fd94df254193b25aa63,0xa8c9444c9deaa9eed6d9883dfb39f437d2a64a3967cb2af630ccd79bddef89fe,2023-03-18 13:19:00
435,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,4600000000,4601836674,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x71d67dc65da93a42f6456c10e1d62e5f62baf38e,0x3471b5bd6c7912e51352c48e9b7de97e81cbe7059bb7f9b206b9d6b15439c10c,2023-03-18 13:18:00
436,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4139330730,0,0,4118337537,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x60e4341ab50ad32983a0cdfdd4cd7e2ea6fc4c98,0xbe704cb8a654dbd6141b4aefe189633c394ff61c2a80216513edbb7784922b0a,2023-03-18 13:18:00
437,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,2150000000,2146841884,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xcc09c6753e873f551cea445ecf9a980f11db65b2,0xde1a30dd903f650cf597d38de49ad7f38aba8072e9584848e690308cc54b04cd,2023-03-18 13:18:00
438,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,3800000000,3810375981,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa3cfe1f44e5bef46bc93843e1471907a03f5d549,0x4c86bccae6dd4805fde1f754565d4d359a7e5f7123d408da6c7eb8067f9f3cef,2023-03-18 13:17:00
439,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,31859124,31980050,0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x7ebfd3423d18f57ece3c381a32f36f125dbbde64,0xeff0969b154c13318a0e03ef58dc24332da8530fa08f181c195d26d13e493dd4,2023-03-18 13:16:00
440,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,345836628,347185753,0,0x1111111254eeb25477b68fb85ed929f73a960582,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xfdddade269dbefd78b662081afa885e35345487a7aba7898fe2f98ba22a14fa8,2023-03-18 13:14:00
441,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,54528987,54747785,0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x5083b16da538c5022744526122243cf3bddb3bf2,0xa8a9f7755dd42ff502f6f2233ab7ab823fbaed1d396c31152c118f50ed6954dd,2023-03-18 13:13:00
442,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2246944715,0,0,2225904576,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc2a27dbcc9da04d4be539ab76c2a4d538551e9a9,0x96931c8b1639e21fa0f1388d39597bcb6b89fb750a5c5ec993e8283aad2c4e64,2023-03-18 13:10:00
443,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3696667854,0,0,3668061141,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x375a213a0912fb1c024a940eb77f1891be04f841,0x0f5bdc32953b471d025d6f412f491c4245d6cac16d851c1fb642f76b0fecca4b,2023-03-18 13:10:00
444,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2743605029,0,0,2727208741,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe8f9b1cf5a3d188fc45b09388398c53420fdb23c,0xad7842de4eca5d7fac2a313dc270246ff5cbc79dd32a46b84f9c059a6b926f21,2023-03-18 13:03:00
445,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0,252007179,251830859,0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4cd36d6f32586177e36179a810595a33163a20bf,0x77a997e4fe4ff3774073f5809891cf0ed272df395c922a7aa175c1017f293cce,2023-03-18 13:02:00
