,address,tick_lower,tick_upper,amount,amount0,amount1,owner,sender,transaction_hash,block_number,timestamp
338,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-79,-30,42935183437865,105472974798,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa474b4ee7d1e02e8fd90ee7e6a9e38a951c71bddb3f99e4c8a41f91d27131904,16801033,2023-03-10 23:37:00
339,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-54,-18,62241217578793,112230428413,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7d699d05f3f5106e341af6f9c1f53997ae4ae40f5086254d5e239c5acffb25cc,16800781,2023-03-10 22:46:00
340,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-40,-20,602771602049517,603646235979,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xdc6a672073faa7321e471ccaf290f6d7d94e661ef5563a40b5d9d1be827f7d53,16800742,2023-03-10 22:38:00
341,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-80,-15,9934073903121,16377601615,15881400930,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x19af8d682d8870853268845e9733e5474dd078495e9121b11ee1c20ca00612a6,16800712,2023-03-10 22:32:00
342,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-32,-2,20350704389207,29415722363,1131204174,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7bbafe0559e3479b1cf29b82260a6bfe27c10e1f46d4b98948bcb7314eb93470,16800662,2023-03-10 22:22:00
343,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-30,-20,1205744482365764,603596091936,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9f4577eca7176558ff8d4bf8591d62f224fb1219b95eee54b7dc7f212f89f986,16800655,2023-03-10 22:21:00
344,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-28,-17,52625452557483,13018116017,15917217942,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xcb8fc556611f61a025a2339e64140920a986994699a15777e3c0abe2234cea53,16800557,2023-03-10 22:01:00
345,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-17,-16,3065280655345009,0,153129992044,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd6572136283781b847f74df7e86ffd2ec81ac86ea6eb214b03188b1d8378fb10,16800502,2023-03-10 21:50:00
346,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-7,-6,75272634379639604,0,3762220691046,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x86602f19d4f9e48085eec95cf9c9575c460f08e8a33db92ba2fe0b9bab82e940,16800421,2023-03-10 21:33:00
347,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-9,5,10535409775624,5279840982,2093846142,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x2132e31a91b26433d83b57bbfab989a83a7dfe1bbef591a0e029f95e8e8444c7,16800330,2023-03-10 21:15:00
