,address,tick_lower,tick_upper,amount,amount0,amount1,owner,transaction_hash,block_number,timestamp
83,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-25,-22,505058651775324,75844070146,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x130d228d5567b2588cfcf76c43f117b86418ff08da606b6ff2c53fc095e2fc69,16853559,2023-03-18 08:49:00
84,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-21,-8,853607998777093,555219836948,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xeb64f37f8a866c70e54e9fa94d3c959a0cdc75f795a5b184bf99c66952ed2feb,16852783,2023-03-18 06:12:00
85,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-22,-12,350451396806793,175365929788,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x24be02d8db21d0bcbcd6c1ebb75fde4e7712f3e5752e27dac2a179850ce1d2eb,16852224,2023-03-18 04:19:00
86,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-25,0,655432359692508,818777992162,981259762,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x3525ece58cbfe54906dd0c89bcdc18edc6b0b1ab2202a3c93a937351022ed799,16851969,2023-03-18 03:27:00
87,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-4,2,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd7cab80837949682f5b8b5f5a4638944a210f370c3fdac79e679613a44e0feff,16850976,2023-03-18 00:06:00
88,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-4,2,826940766847585,248082230881,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd7cab80837949682f5b8b5f5a4638944a210f370c3fdac79e679613a44e0feff,16850976,2023-03-18 00:06:00
89,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-24,-20,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xba98294a11821aa6fc4b329182074cc3cd7d067ab13db372b1af7e16f5640d68,16850884,2023-03-17 23:47:00
90,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-24,-20,740229574463047,148201437147,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xba98294a11821aa6fc4b329182074cc3cd7d067ab13db372b1af7e16f5640d68,16850884,2023-03-17 23:47:00
91,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-49,8,28525353141120,52157842298,29105666871,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x6065fc7c675a8e53fa392dc107eb8b275df29695bd525b017e5e70c7d6ff28ee,16850587,2023-03-17 22:47:00
92,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-19,-8,7257073065702120,3993885508603,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9a3249884c0cf6cc0a15dfca68b102d81427a8de214740b838454dcc524a0a92,16849703,2023-03-17 19:48:00
93,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-27,-17,1070933650960528,0,534851428672,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x571276a0c6026bd5aa8e8221268b65985aa4cea0c60440a7ff6ac03e000ab982,16849502,2023-03-17 19:07:00
94,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-5,0,1227240368162285,306833103180,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xf221513523870ac9f309a01814dcc8c58b83b4f9289c99bcade1e2d89a832f1f,16848977,2023-03-17 17:21:00
95,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-27,-17,1074319932892945,0,536542623759,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xcb42b3a2a29fe81a6ec2ed56cfbe393048b0336ebeb2f7d5fc963ed0b27f8810,16848780,2023-03-17 16:41:00
96,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-29,-19,1073817197445770,0,536237921134,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x48e761d8583c2d1eac3e655623b49a5ae79b9a9858bde300f744efa47a061d10,16848767,2023-03-17 16:39:00
97,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-17,-16,124253401825573759,241771943123,5965851684835,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xae7e87974c1fa08249b3012bd5793f7123a58c937e2db8e662970559b71cd3c0,16848724,2023-03-17 16:30:00
98,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-52,9,28724212035559,32023803595,55493455248,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x8168cde72f724d78ce8a01e8a60783a73982f8d10ef79e4db15a941bf9e7c5dc,16848562,2023-03-17 15:57:00
99,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-29,-19,350567311005554,0,175064700507,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x405b0b027e957ef89edd7ff5532a4a903f52d7e90a7b9cead7c847de4c02e095,16848473,2023-03-17 15:39:00
100,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-16,-13,9503520018628632,0,1424423702519,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36f084071722f2204845873c959ef8ea3f0b633fd3006ac98a192f7f8b0501c,16848446,2023-03-17 15:34:00
101,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-17,-14,9628089926973410,0,1443022564538,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x73a6e7bbae0692e671a8d3f208df23eb9efc4c54f04574ca9915d3994a61ac97,16848406,2023-03-17 15:25:00
102,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-17,-14,4126324254417175,0,618438241945,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd4336d894b02f705f36a199dede54e86f271bf2c73fd797d65524c82cdd606d4,16848392,2023-03-17 15:23:00
103,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-17,-14,0,0,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xd4336d894b02f705f36a199dede54e86f271bf2c73fd797d65524c82cdd606d4,16848392,2023-03-17 15:23:00
104,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-26,-16,7997044713451613,0,3994126659952,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbf36498a836d69ad501fea5b51376125290751cdff3d79ac28000cdd16632c22,16848389,2023-03-17 15:22:00
105,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-21,-18,18548464213962718,0,2779419410666,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x10eb7d3ea718624077bb65d5a82cd75676033625f12f35256035939ee7942af8,16848296,2023-03-17 15:03:00
106,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-32,-22,350372796188877,0,174941322733,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x5884757f00c1b462b28802234b34617b297cade7e27d11b9d39259c6e1703d6c,16848059,2023-03-17 14:14:00
107,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-33,-15,210398127747112,43015680772,146179347190,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x42da88b0619f1d338ea65dad31352a5e70c9c6430fcfc7955f302f7cb19b30c2,16847981,2023-03-17 13:59:00
108,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-35,-20,301555337278798,0,225844466501,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbb4e0041f3ccdb576fba532a0b45a255aeace5bf6a9889a7e5878a0b05b4b39a,16847980,2023-03-17 13:59:00
109,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-33,-24,2534504753218133,0,1138846194605,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x4d5622a3b3ebbb718065ebdbfc69669a9f262f1c09109f45823c6d3c4b50b7b5,16847937,2023-03-17 13:50:00
