,address,tick_lower,tick_upper,amount,amount0,amount1,owner,sender,transaction_hash,block_number,timestamp
394,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203880,203940,63646644736713603773,6143651471910,706809712006527999990,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe97776adf17a2af8eb6028db6d40d71ce2eb7a8346207b5f349d9998d7aa23c3,16797028,2023-03-10 10:05:00
395,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201600,203880,13982382257287719,90321430,40199999991081128162,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbf6c57eb57af149bd323ac414a48ae7aed32b588155575fa8b28f5de6a7239e6,16796966,2023-03-10 09:52:00
396,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,207660,209820,130499620870066,413730398,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x4792a891b5229827db17da7ea3741f28167b8d340352d5ca794d54b1c24dbb01,16796844,2023-03-10 09:26:00
397,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,202620,203820,19332186689412428,0,29999999999999999515,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xdf5cb7361c48610750df48963d62c7bd59c97e6ff88aaeabe38c2d4e667bd07c,16796645,2023-03-10 08:46:00
398,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,204120,205140,20759991317264392,38155825905,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xf6dd95817f2ad8fa4cc0c00d60578a202252bc029e36fe7561cf4293030d4171,16796591,2023-03-10 08:34:00
399,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,202980,204180,17800983756091021,12173913043,19326692476412044178,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x01f9dfe390d7c6e5fbd2aedbfd872e68c81f9f8fdaeb48b137b33d122b605ca0,16796525,2023-03-10 08:21:00
400,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,201360,206220,121242260028974826,516167606647,372699999999625927601,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x986205a2f4cba560ee0cba52b81b1981cf227d22f326efb53f4867741ea0206c,16796318,2023-03-10 07:39:00
401,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203640,207120,821093488828188,4639346560,229552683807980964,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa5a0c4769fc0c05c6a47f24ee57052434eb4900b043e068cd6085ee569169f51,16796284,2023-03-10 07:32:00
402,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,202500,204720,19238215313550866,33864158778,31255788444382343262,0x12804580c15f4050dda61d44afc94623198848bc,0x12804580c15f4050dda61d44afc94623198848bc,0x276f0e6533b68b852fc1afcb34f39c5f3e88eaccc6f2b05f675aa7abadf1aa61,16795688,2023-03-10 05:30:00
403,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203760,204240,562496740213085775,500000000000,1439680059712224636,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa161c3986de7f338dc4e46432af4e992698623b09cfe21ba8f47ef4ea7eaebbc,16795668,2023-03-10 05:26:00
404,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203220,204300,8505680580536968,8496838448,6041438598847055383,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xfa66dae21b098e981f4f42ea6a6d24ff56b64020ad17391ef1d0ffe1a99a899c,16795646,2023-03-10 05:22:00
405,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203760,206100,240637949414386521,1000000000000,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x0c838290bc70c9979d4fb57dc3313adbfdf36eb184748c05fd537ebe54607741,16795499,2023-03-10 04:52:00
406,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203520,203880,275289334023228307,100712919197,59999999999686992487,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x78b8d6641f3d06daa087fee127496dd885f56a7b36d5a8dcabdab4b1c593524b,16795151,2023-03-10 03:42:00
407,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203040,204420,5465230458103101,7436499055,4599999999751048863,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbb49fdf64bdac79945e207a0f70c1cf504fd3f1e984b1ed0fe1a174003f43c2e,16794191,2023-03-10 00:25:00
408,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203160,203880,523993313625752195,244477684646,322702014508454286867,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xf6a2da32275d7473a3fdf776e678dd5f42ae41eeeb53707fbdd61e415970fbee,16794025,2023-03-09 23:52:00
409,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203580,203640,165109564915513103771,8518083816814,7128189290484222499989,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x68803b65485ccc5ed34601a2a0b1faea1aa234de63d920e2cc2370f721435127,16793274,2023-03-09 21:20:00
410,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203640,203700,364221210482220897832,34599942236568,4681932798714077966271,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x9101d3d2a969f7be5a6312959970fb7baf46fef8f806175d65d21636aea0ec7f,16793227,2023-03-09 21:11:00
411,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203640,203700,364221210482215400231,34445380872859,4789842165142757194917,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x887d5171d5df5fa490c8b901658fec856fbb4c5cfa7e86639eb50e24bd250d77,16793228,2023-03-09 21:11:00
412,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203520,203640,66106085395954442,9108947220,4112956996518446998,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x05ab6327a698f0072715dc1253f0a1a900e899be0a652389b562c30322b7cc48,16793150,2023-03-09 20:55:00
413,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,203400,203460,65381496868951139217,7504972356494,0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x2a64c44701f4063297cfe6bef6af9e2238197768a24bce70d42c452aa77ad7b6,16792984,2023-03-09 20:21:00
