,address,amount0,amount1,sqrt_price_x96,liquidity,tick,sender,recipient,transaction_hash,block_number,timestamp
0,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-1506321950,1500718264,79076707511701061418028164255,11254944773943059,-39,0xe592427a0aece92de3edee1f18e0157c05861564,0x767af52d988d1241a346851a1b39ccd11357376e,0x0d11f10a94b94e8ee78a5364dd6acb3cfeaf164105cc6fe2366062529e22a369,16871311,2023-03-20 20:38:00
1,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-6624649199,6600000000,79076696948587428488061241417,11254944773943059,-39,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x64908956b2db1703806ee4f3fa92b6972981694013d1de2a2ec8b570e8e8487f,16871302,2023-03-20 20:36:00
2,0x3416cf6c708da44db2624d63ea0aaef7113527c6,423661017,-422000000,79076650493132292237880141640,11254944773943059,-39,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x0a80bada962cb60be2d486b58e0767d4b32bee76,0xce5b8285bc09d3077537f64dbc55fe98298eb01a6df916e568e42638719b08ae,16871296,2023-03-20 20:34:00
3,0x3416cf6c708da44db2624d63ea0aaef7113527c6,911550290,-907976464,79076649747256203946136944204,11254944773943059,-39,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,0x1111111254fb6c44bac0bed2854e76f90643097d,0xcbd56fa91391fd6528aa239362269c8336c4efe63d0fdf33f560eff35923537a,16871290,2023-03-20 20:33:00
4,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-529982269,528010000,79076653463763001899388174884,11254944773943059,-39,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe3f6b941825ec38636182b54e594434d6c899bb883a5df9cc6fd9450a3941658,16871291,2023-03-20 20:33:00
5,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-2695919079,2685886184,79076656138874142086318822698,11254944773943059,-39,0x1111111254fb6c44bac0bed2854e76f90643097d,0x67e927de12944749bc8bafdc7a4904dd596bb080,0x224c8bca2b491274f81ea5bfa43f068c78d609b5819fee9fffee0b56db049ae5,16871283,2023-03-20 20:32:00
6,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-163114040493,162504620148,79076637233712762668587855132,11254944773943059,-39,0x280027dd00ee0050d3f9d168efd6b40090009246,0x280027dd00ee0050d3f9d168efd6b40090009246,0xfa32947b2aa3db5ece1bf6e3511d05e61b7e8be40b2743a041aa76f605daa1e0,16871280,2023-03-20 20:31:00
7,0x3416cf6c708da44db2624d63ea0aaef7113527c6,30000000,-29881505,79075493411577812211197996631,11254944773943059,-39,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x665ad02a58d1c6a9a24ca0de5ae2c5cb09ac1544,0x06ad3abe514cf365db5df1c4bfcba3a253eaa97909f055a4b7e6af80ac348838,16871270,2023-03-20 20:29:00
8,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-162724511194,162111862779,79075493621925960456633143949,11254944773943059,-39,0x280027dd00ee0050d3f9d168efd6b40090009246,0x280027dd00ee0050d3f9d168efd6b40090009246,0xd21759f7e2d324fc2521c1e7608a08dcbcb7e11e7f04bd78d3a0e7e9b43e6670,16871260,2023-03-20 20:27:00
9,0x3416cf6c708da44db2624d63ea0aaef7113527c6,-8519062366,8486875179,79074424631307207538701513594,11254944773943059,-39,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x8375631f2bd0b17a25aa114f15b6f40142b0db58,0x7bb6000238a37dd7fd1c6e2196cdb63816eb300b032bca14d2b71841388af50d,16871257,2023-03-20 20:27:00
