,address,amount0,amount1,sender,transaction_hash,timestamp
441,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1347999999,1345805323,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf7e8cc89b8233a007a500da387fc2ebeb873f921dd3aee23875cbc34617edbbd,2023-03-15 17:44:00
442,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1946000000,1944445685,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1cc55501dae6eaaad5a5bac42e4a9f8724a4e560e1a2234c96bf81e435e746e1,2023-03-15 17:27:00
443,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3198999999,3192583903,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x94c4c1402099dc8b86c55beb2ac70abf18532ffca95617a76d72d82adfd29ac0,2023-03-15 17:26:00
444,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3805000000,3792880467,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xbe923ab3d1edbc45cf29aafce2f898eb2ac7694ffe5d3ab67a48b1b76ad39baf,2023-03-15 17:06:00
445,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4932999999,4932213758,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x5ecf295175e2f86a6a4e6d934549d81c8d82f7623827a6762ff77f0ce343aa5e,2023-03-15 16:33:00
446,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2901999999,2893074954,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe068072d1428615760cfa50ff48b5feb66f205d13307055c02d9ae9fef5cf3c0,2023-03-15 16:32:00
447,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4692999999,4692252010,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x5a433770cfa3da6d485e489e60725d0f84c34c25c20fd09f05bd82706959032d,2023-03-15 16:32:00
448,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3293000000,3292293587,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x50fbfc80d79a1b3ed7bc500d37ad48407d391227d2f28c2c2224478050c4885a,2023-03-15 15:29:00
449,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4739000000,4737983392,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc8bcb2e4bc8d0b0e3d6fd2748ca1efb64df42881d7b783ba2032d63b12c1212a,2023-03-15 15:28:00
450,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3902000000,3892859427,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xae13bb36f755ca78f68e7dad776041568195de3289c7498e206c1ed936844389,2023-03-15 15:27:00
451,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4097000000,4077493823,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xeed97075ccadf481aa1ec084ca4a0cd3bb5d0578d04b05817981642c4a3de953,2023-03-15 15:26:00
452,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3503000000,3493014836,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x41e1a4a8d8714ba1f0a2f9de10221c6c50c13aa7f7003d42da19e8d301f415ec,2023-03-15 15:06:00
453,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3359999999,3343113729,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x689b2bb4bc01404783cff4e7511fafc939ccda7cf9def9492b34df74db13005b,2023-03-15 15:05:00
454,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,3701000000,3692576172,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa2204a8365e46b9172e321d0dd988de863ddb87d391085b69730b34b3863642b,2023-03-15 14:37:00
455,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2755999999,2743403563,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x9930d676267c88d51bf163cc19ea292a9d2282ff4b083d7ab99d52ce254671fb,2023-03-15 14:36:00
456,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,350999999,348797251,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7ebc0cebde88e6628d320457ccdb551f039879cc58f742f25102f1583c602976,2023-03-15 14:33:00
457,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4191000000,4185698192,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8e54d6f8847c95f3ab260fee9150556968e85839d86bed47e83e417c9bf2514e,2023-03-15 14:00:00
458,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,2499000000,2494290235,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa553b9357e55f30bded5e568d2ee6ec3b685cab673907a9a1c894c4b277bc577,2023-03-15 13:59:00
459,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,997999999,996737484,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa70fe809c7458d44b5206b836b5e405a7bb1dbf6fbdd5ec1c3da184a2b4a8750,2023-03-15 13:59:00
460,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,798999999,798979290,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x58e2bfd01046fdc8ef15f152cf03ed1cf8c40b0ffd182d64ee0b6b47bc373fe7,2023-03-15 13:24:00
461,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4845999999,4834464996,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x794670546c230e6f8278ccea37311c9418366d14ed011f480821878ecb6bf4cd,2023-03-15 13:23:00
462,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,799000000,797098129,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2d37ed40c431ac63cad67a68243f21a6bc10051bed8f8bcfc62444f482da8f28,2023-03-15 13:22:00
463,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1748999999,1743969016,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x27c986f8e5493eede116c81450b8e3e5afc4e6ddfab990fbd7f45ea62a0cbffd,2023-03-15 13:22:00
464,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4196999999,4192464130,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8172534f4ea8c3ca11c44cab155aefd4a567c76a140769b1ed0cf2fb8ec2aa68,2023-03-15 13:21:00
465,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1151000000,1146751868,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x438874109189098a3f397c7f20ac552c5fc6176720d4172d197ca8581b03a4fc,2023-03-15 13:20:00
466,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,4915000000,4891975039,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xd7d3a5bc6cd5264c8cf23888893939f82ac77b7a5ce0c2d6a2881585ed3a592c,2023-03-15 13:19:00
467,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,450000000,448017686,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x35c47e60373efd8f76962d683b53045c327a0d7f4a8ff6c5dd682444b68fe1f8,2023-03-15 13:19:00
