,USDC_reserve,WETH_reserve,USDC_WETH_price,WETH_USDC_price,timestamp
156,28214006.545635,16016.477648692431,1761.5612617056195,0.0005676782430512179,2023-03-20 17:08:00
157,28192625.287743,16028.585879327193,1758.896605102533,0.0005685382512530951,2023-03-20 17:06:00
158,28192358.894092,16028.736881369561,1758.8634152988311,0.0005685489795863995,2023-03-20 17:03:00
159,28190868.514608,16029.581744323164,1758.6777364258087,0.0005686090071802617,2023-03-20 17:02:00
160,28183677.657993,16033.659358147075,1757.782003774383,0.0005688987674427349,2023-03-20 17:01:00
161,28181245.944763,16035.038664089883,1757.479138972972,0.0005689967965050076,2023-03-20 16:57:00
162,28190985.046674,16029.482453553908,1758.695910954852,0.0005686031381979745,2023-03-20 16:56:00
163,28227539.207304668,16008.665995111523,1763.2670287307271,0.0005671296259821278,2023-03-20 16:55:00
164,28238616.153744,16002.362604079113,1764.6529360949353,0.0005666836688085174,2023-03-20 16:54:00
165,28236429.995651,16003.597886380903,1764.380131794699,0.0005667712942263273,2023-03-20 16:52:00
166,28230136.840978,16007.154714641754,1763.5949264084938,0.0005670236316887512,2023-03-20 16:51:00
167,28230035.23939,16007.212152518385,1763.582250951089,0.000567027707077856,2023-03-20 16:50:00
168,28230292.501517,16007.065840160163,1763.61444273503,0.000567017356950871,2023-03-20 16:49:00
169,28230070.364491,16007.190732873609,1763.58680597376,0.0005670262430601989,2023-03-20 16:47:00
170,28230708.429291,16006.82640293969,1763.6668080629877,0.0005670005215431178,2023-03-20 16:45:00
171,28227287.791079,16008.75499582656,1763.2406763650188,0.0005671375594023149,2023-03-20 16:43:00
172,28234457.853935,16004.677330762708,1764.1378998416508,0.0005668491108828625,2023-03-20 16:42:00
173,28230855.3274995,16006.712323389724,1763.688555554315,0.0005669935304107613,2023-03-20 16:41:00
174,28230184.2541795,16007.08985671752,1763.6050343338695,0.0005670203819364005,2023-03-20 16:40:00
175,28228657.08643933,16007.951018558582,1763.4147741717804,0.000567081569210741,2023-03-20 16:39:00
176,28228004.2199405,16008.305863199945,1763.3349058951026,0.0005671072565135652,2023-03-20 16:38:00
177,28231125.247824,16006.52169592744,1763.7264242877086,0.0005669813573261804,2023-03-20 16:37:00
178,28229420.953268,16007.480960032768,1763.5142963454764,0.0005670495795756812,2023-03-20 16:36:00
179,28226432.540768,16009.17047228055,1763.1414812929447,0.0005671694589515761,2023-03-20 16:35:00
180,28226047.77236,16009.385960265112,1763.0937169831127,0.0005671848253292063,2023-03-20 16:34:00
181,28226614.941418,16009.063137683737,1763.1646960636544,0.0005671619912947133,2023-03-20 16:33:00
182,28226074.857782,16009.368539492976,1763.0973256785262,0.0005671836633381263,2023-03-20 16:32:00
183,28226066.948586,16009.37301200309,1763.0963390898191,0.0005671839807212351,2023-03-20 16:30:00
184,28208465.328224,16019.33261982689,1760.901405674716,0.0005678909658299892,2023-03-20 16:29:00
185,28203621.610098,16022.075879816333,1760.2976673150497,0.0005680857861973391,2023-03-20 16:28:00
186,28200099.829311,16024.068492569893,1759.858918036889,0.0005682273678302334,2023-03-20 16:24:00
187,28199462.795538,16024.42808052482,1759.7796731421222,0.0005682529559112509,2023-03-20 16:23:00
188,28194609.686214,16027.178190686896,1759.1749324746638,0.0005684483173010469,2023-03-20 16:21:00
189,28190101.665698,16029.733367181176,1758.6132607429154,0.000568629853034064,2023-03-20 16:19:00
190,28243067.563488998,15999.581576501114,1765.2378874541037,0.0005664958861544475,2023-03-20 16:18:00
191,28246795.2115115,15997.463800638427,1765.704587039541,0.0005663461529753784,2023-03-20 16:16:00
192,28249027.344767,15996.195936489543,1765.9840787725693,0.0005662565206675253,2023-03-20 16:13:00
193,28272249.448039,15983.01756725429,1768.8930972560938,0.0005653252881992697,2023-03-20 16:10:00
194,28288131.0807205,15974.0165653164,1770.8853301966187,0.0005646901192791826,2023-03-20 16:09:00
195,28297231.4566195,15968.828142673065,1772.0293063958848,0.0005643247526781705,2023-03-20 16:07:00
196,28298426.922535,15968.151510065705,1772.1792597406634,0.00056427700217321,2023-03-20 16:06:00
197,28298284.301524,15968.231746793354,1772.1614233965945,0.000564282681474558,2023-03-20 16:05:00
198,28298084.301524,15968.344265555274,1772.1364113225409,0.0005642906458051401,2023-03-20 16:02:00
199,28309324.255851,15961.988355105563,1773.546948984098,0.000563842311053796,2023-03-20 15:58:00
200,28327313.727316998,15951.817860195371,1775.80473746529,0.0005631249759066724,2023-03-20 15:53:00
201,28330293.014896,15950.13471934307,1776.1789183213195,0.0005630063452237462,2023-03-20 15:52:00
202,28330666.127899,15949.922641682055,1776.2259268808145,0.0005629914443125345,2023-03-20 15:50:00
203,28330855.299879,15949.815819958912,1776.249683414248,0.0005629839145907369,2023-03-20 15:49:00
204,28324291.148713,15953.500730506406,1775.427953223525,0.000563244483215648,2023-03-20 15:48:00
205,28324455.198084,15953.406029586735,1775.4487769483035,0.0005632378780920658,2023-03-20 15:47:00
206,28324727.640854668,15953.249807965745,1775.4832408513691,0.0005632269452776319,2023-03-20 15:46:00
207,28324720.163399,15953.252380956612,1775.482483885869,0.0005632271842025571,2023-03-20 15:45:00
208,28324506.821655,15953.372181249084,1775.455778242698,0.0005632356560239281,2023-03-20 15:43:00
209,28324006.821655,15953.65295918006,1775.393190144379,0.0005632555118219631,2023-03-20 15:42:00
210,28322529.83332,15954.482428488558,1775.208312790321,0.0005633141715228747,2023-03-20 15:39:00
211,28325875.241353333,15952.588337648856,1775.6288687682008,0.0005631807964598122,2023-03-20 15:37:00
212,28328680.645234335,15950.987430706386,1775.9829207835558,0.0005630685018498281,2023-03-20 15:35:00
213,28326098.218356,15952.437109818567,1775.6596078242126,0.0005631710018461608,2023-03-20 15:34:00
214,28325105.014702,15952.994793714466,1775.5352760387152,0.0005632104377171469,2023-03-20 15:33:00
215,28320105.014702,15955.80289343745,1774.9094297442048,0.0005634090299154686,2023-03-20 15:32:00
216,28320667.840875,15955.48339752489,1774.9802467077006,0.0005633865520540701,2023-03-20 15:29:00
217,28321294.256142,15955.129424894376,1775.0588855740034,0.0005633615921855057,2023-03-20 15:28:00
218,28321596.60132,15954.95858519536,1775.0968423033924,0.0005633495459704049,2023-03-20 15:26:00
219,28320988.383138,15955.299593287573,1775.02078448142,0.0005633736855285207,2023-03-20 15:21:00
220,28319388.536643665,15956.197331444431,1774.8206520185224,0.0005634372126083962,2023-03-20 15:17:00
221,28319788.3753225,15955.968855502284,1774.8711242514282,0.0005634211897093027,2023-03-20 15:15:00
222,28319773.410565,15955.97629504291,1774.8693584712323,0.0005634217500162046,2023-03-20 15:14:00
223,28319335.054878,15956.222537886319,1774.81449576349,0.0005634391665148942,2023-03-20 15:12:00
224,28318720.875228,15956.567559234169,1774.7376288855914,0.0005634635698956406,2023-03-20 15:11:00
225,28319404.924909,15956.180971734168,1774.823497870566,0.0005634363085680353,2023-03-20 15:10:00
226,28319517.42925,15956.117392217107,1774.8376207775564,0.0005634318251389668,2023-03-20 15:09:00
227,28319376.276727,15956.196653892866,1774.8199581021968,0.0005634374323070408,2023-03-20 15:08:00
228,28330026.680721,15950.180028808147,1776.1571737468294,0.0005630132371058612,2023-03-20 15:06:00
229,28333664.337741,15948.126081644825,1776.6140167621988,0.0005628684624600993,2023-03-20 15:05:00
230,28333403.139641,15948.272662108524,1776.5813100849655,0.0005628788248099799,2023-03-20 15:03:00
231,28333500.554364,15948.217664619926,1776.5935448209998,0.0005628749484737967,2023-03-20 15:02:00
232,28330421.966549,15949.94551359903,1776.2080718328657,0.0005629971036941083,2023-03-20 15:01:00
233,28330421.966549,15949.94551359903,1776.2080718328657,0.0005629971036941083,2023-03-20 15:00:00
234,28310147.059943,15961.334123203867,1773.6704742733577,0.0005638025861149189,2023-03-20 14:59:00
235,28310292.670478,15961.25093279769,1773.6888411612592,0.0005637967476557421,2023-03-20 14:58:00
236,28310866.159573,15960.926635182523,1773.7608101754956,0.0005637738720256539,2023-03-20 14:57:00
237,28295913.35688,15969.335777659995,1771.890437451008,0.0005643689806456498,2023-03-20 14:54:00
238,28293223.765469,15970.849300146714,1771.5541153108666,0.0005644761252236361,2023-03-20 14:50:00
239,28291526.13423,15971.80474440887,1771.3418481486133,0.0005645437672266304,2023-03-20 14:49:00
240,28295259.061459,15969.691282081812,1771.810021976231,0.0005643945951296889,2023-03-20 14:48:00
