,USDC_reserve,USDT_reserve,USDC_USDT_price,USDT_USDC_price,timestamp
201,3972351.9706335003,3953273.379056,1.0048260318658668,0.995197162728451,2023-03-20 10:40:00
202,3972076.5808485,3951451.563857,1.00521964060086,0.9948075326109496,2023-03-20 10:39:00
203,3973072.804168,3950457.711616,1.005724676531912,0.994307908848719,2023-03-20 10:33:00
204,3973548.082133,3949983.773857,1.0059656721711012,0.9940697060186697,2023-03-20 10:30:00
205,3974168.481161,3949365.295105,1.006280296757239,0.9937588992078277,2023-03-20 10:18:00
206,3974763.486306,3948772.313281,1.0065820895617565,0.9934609510441198,2023-03-20 10:14:00
207,3974802.347438,3948733.590474,1.0066018019110958,0.9934414960329279,2023-03-20 10:13:00
208,3974095.146342,3949402.756904,1.0062521831674005,0.993786663748922,2023-03-20 10:12:00
209,3974283.197327,3949215.320904,1.0063475587897956,0.9936924785732784,2023-03-20 10:07:00
210,3976100.810941,3947404.567804,1.0072696483585832,0.9927828180165762,2023-03-20 10:04:00
211,3974729.4618315,3950999.319054,1.0060082767349847,0.9940308681385626,2023-03-20 10:03:00
212,3971475.129643,3956466.656636,1.0037934031320161,0.9962209323948733,2023-03-20 10:02:00
213,3978680.936245,3963645.232007,1.0037934031321936,0.9962209323946971,2023-03-20 09:49:00
214,3979001.212349,3963325.232007,1.003955259642939,0.9960603228032833,2023-03-20 09:45:00
215,3978662.336503333,3963661.8365543336,1.0037845296197454,0.9962297870307291,2023-03-20 09:20:00
216,3976380.805434,3965929.198765,1.002635348778353,0.9973715780302738,2023-03-20 09:19:00
217,3978043.575013,3967587.597884,1.00263534877833,0.997371578030297,2023-03-20 09:12:00
218,3978243.510579,3967387.597884,1.0027362873999985,0.997271179437324,2023-03-20 09:11:00
219,3978276.602254,3967354.497484,1.0027529944140174,0.9972545637566247,2023-03-20 09:07:00
220,3976901.401449,3971212.394909,1.0014325835484512,0.9985694698118659,2023-03-20 09:06:00
221,3978275.711992,3972836.114707,1.0013691975022234,0.9986326746362493,2023-03-20 09:01:00
222,3976712.69736,3974392.921206,1.0005836806274546,0.9994166598568862,2023-03-20 08:46:00
223,3976863.546713,3974241.711957,1.0006597069192122,0.9993407280070831,2023-03-20 08:38:00
224,3976913.430226,3974191.711957,1.000684848257524,0.9993156204386262,2023-03-20 08:34:00
225,3972519.430227,3969800.719121,1.0006848482577235,0.9993156204384267,2023-03-20 08:33:00
226,3976914.105436,3965400.719121,1.0029034609943663,0.9971049446858149,2023-03-20 08:30:00
227,3976864.105436,3965450.425427,1.0028782808469408,0.9971299798770095,2023-03-20 08:25:00
228,3976612.452918,3965700.618738,1.0027515526836397,0.9972559975835731,2023-03-20 08:24:00
229,3976863.781985,3965951.258158,1.0027515526834963,0.9972559975837159,2023-03-20 08:17:00
230,3976360.462492,3966451.754069,1.0024981290678336,0.9975080960299082,2023-03-20 08:16:00
231,3976863.018351,3966953.057607,1.0024981290678487,0.9975080960298932,2023-03-20 08:15:00
232,3974012.018351,3964109.162025,1.0024981290679043,0.9975080960298381,2023-03-20 08:14:00
233,3973046.676903,3965069.442392,1.0020118776296103,0.9979921618949571,2023-03-20 08:13:00
234,3972067.423232,3966044.038293,1.0015187388320925,0.9984835643141907,2023-03-20 08:09:00
235,3970300.600296,3967803.672131,1.0006292973068547,0.9993710984591913,2023-03-20 08:08:00
236,3972665.6536144996,3968934.1829810003,1.0009402178042413,0.9990607617742973,2023-03-20 08:01:00
237,3971331.943524,3970259.293985,1.0002701711549735,0.9997299018177644,2023-03-20 08:00:00
238,3973281.127076,3972207.951065,1.0002701711552417,0.9997299018174962,2023-03-20 07:59:00
239,3970835.4584525,3964867.272385,1.0015060312273922,0.9984977539643832,2023-03-20 07:56:00
240,3976133.08159,3959567.272385,1.0041837423297577,0.995833688444257,2023-03-20 07:55:00
